origin_lat,origin_lon,dest_lat,dest_lon,hour,day_of_week,vehicle_type,trip_distance,trip_duration,fare,demand_surge
12.941235786141034,77.62642682066802,12.930763408011186,77.62090109547117,23,0,van,1.31,2.72,118.54,1.0
12.940731763427978,77.627383771455,12.92123907108194,77.64333869107591,0,5,van,2.8,5.37,138.74,1.0
12.965854420329146,77.54899727146622,12.983967249487767,77.56642673410558,23,5,van,2.79,5.85,139.6,1.0
12.941977599025046,77.55812210615575,12.93530399690178,77.55362507084804,10,6,van,0.89,2.47,170.76,1.5
13.01741960973362,77.63794593720914,13.019383604853408,77.63827630814303,14,3,van,0.5,1.09,107.18,1.0
13.006408842061965,77.62542409024377,13.000197629903763,77.63693203971496,9,3,economy,1.45,4.56,110.43,1.5
12.984583794338944,77.56017120816877,12.977105024894904,77.55022906304193,18,1,economy,1.38,4.79,110.07,1.5
12.931784842811687,77.58955048010024,12.948389851919462,77.61819677712583,3,6,premium,3.68,8.08,132.96,1.0
13.008982289637878,77.55933351112454,12.981964405688313,77.5411010136016,18,0,premium,3.62,10.19,204.87,1.5
12.953135174351496,77.62534830406027,12.935317758231095,77.61504786734132,2,4,economy,2.28,4.11,81.02,1.0
12.966929768985716,77.63436983715314,12.939440947487636,77.61593691472011,18,1,premium,3.67,10.21,205.68,1.5
12.95545059027984,77.55386199304218,12.97910345298369,77.57779485892813,10,3,van,3.74,11.91,241.83,1.5
12.930962954772177,77.58896487528015,12.91223628914381,77.60522285296925,15,5,economy,2.75,5.46,88.42,1.0
12.986761270048122,77.63418883824893,12.979782241102878,77.63209789859062,3,5,premium,0.81,1.61,91.32,1.0
12.976845273075329,77.5660900513465,13.006487789306822,77.57871792053518,14,0,premium,3.58,6.69,129.18,1.0
13.017343228885974,77.58401643399861,13.00115484422448,77.60768242303715,23,5,economy,3.18,6.45,94.7,1.0
12.927383612916278,77.5643048773772,12.945991244852554,77.55692717468128,22,2,economy,2.22,4.02,80.24,1.0
12.976114097332282,77.56272457772648,12.972913377879015,77.55350091536724,16,2,economy,1.08,1.96,64.72,1.0
13.016483959554145,77.57320958988593,13.035200281369722,77.55501337641346,0,2,economy,2.9,6.04,91.08,1.0
13.007808753716855,77.56297446798773,12.985609648653124,77.56312354543013,2,1,van,2.46,5.35,135.3,1.0
12.989547636449291,77.6195935230343,12.980781110742104,77.64547109920206,14,4,economy,3.03,6.04,92.38,1.0
12.989969850077543,77.5432128132341,13.019772473038897,77.52223679183021,4,2,premium,4.05,8.6,137.7,1.0
12.954716596536345,77.56384477322368,12.963402372711881,77.57152809471864,19,2,premium,1.29,3.27,149.16,1.5
12.936618118321563,77.54017722378343,12.919659470966288,77.53095152500313,13,5,van,2.14,4.09,129.58,1.0
12.979927018648699,77.6298786297341,12.952675868848193,77.62868545210958,4,0,van,3.03,5.58,141.46,1.0
12.995947701926633,77.5522227362155,13.012175105968785,77.52816619514392,12,2,economy,3.22,6.07,94.34,1.0
12.979658406818027,77.59635010074946,12.973510112482959,77.61528995466267,2,1,economy,2.21,4.02,80.14,1.0
13.007428227282563,77.57524295204422,13.028275752738306,77.57717531681587,16,0,economy,2.32,4.63,82.46,1.0
12.938339321474771,77.56066270237285,12.940775816559102,77.53287931160746,14,6,economy,3.1,6.56,94.12,1.0
13.003963978576834,77.55181416389772,13.02672479955625,77.54603193233007,13,5,economy,2.61,5.06,86.22,1.0
12.938963198202435,77.57899201565,12.945270361174442,77.59530615389085,14,5,premium,1.94,3.66,106.72,1.0
12.929168642772195,77.54746935282634,12.908591054706022,77.56681536555588,15,3,premium,3.14,6.8,125.0,1.0
12.93874200143004,77.57445014360216,12.919781182929492,77.58703310786491,1,6,economy,2.53,5.2,85.7,1.0
12.950691707116185,77.60057912458008,12.947150825230027,77.58001760483555,16,4,economy,2.32,4.62,82.44,1.0
12.978932902787054,77.58687598849531,12.953134911868533,77.59791361089637,0,2,van,3.11,6.11,143.32,1.0
12.967270043329771,77.61184070183316,12.973814884159813,77.62168912468982,3,1,economy,1.31,2.69,68.48,1.0
12.945914949793334,77.56710102827427,12.93549363353728,77.57970332420501,8,2,economy,1.82,5.92,120.06,1.5
12.985253839519185,77.55966439669768,12.99646681336989,77.5467415258936,10,4,van,1.9,6.67,198.51,1.5
12.947309883275055,77.61093593434678,12.917842104123663,77.59281012571253,15,0,economy,3.84,8.44,105.28,1.0
13.001013252812422,77.60942273435242,12.972095542658113,77.59616870589295,11,3,van,3.53,6.93,149.16,1.0
12.948923092463328,77.56656451502418,12.942830178802874,77.59187415769581,9,1,premium,2.89,10.24,194.07,1.5
12.975268779584956,77.56525316550041,12.960586666274274,77.56577410671912,15,4,economy,1.63,3.1,72.5,1.0
13.014636653456797,77.58020400424863,13.013280732401585,77.57622480994006,23,6,economy,0.5,1.02,57.04,1.0
12.93753088512503,77.57269997594697,12.910343631314515,77.59645376781691,19,4,van,4.01,14.33,253.14,1.5
12.959378415388414,77.55157546607457,12.986839529633551,77.55972504223269,17,4,premium,3.18,8.01,191.73,1.5
12.991745672428532,77.59367061674797,12.977501660829967,77.60229318212981,10,1,van,1.85,5.49,194.22,1.5
12.941384119364987,77.6186851038167,12.952701286315332,77.64351375075397,5,1,economy,3.03,6.63,93.56,1.0
12.979329281308312,77.56416042833933,12.975787490464285,77.54384172575077,11,3,van,2.29,4.2,131.3,1.0
13.004793973124464,77.58477593794473,12.979213754943792,77.56124649056741,6,2,van,3.86,7.17,152.94,1.0
13.018932267179649,77.61684603870484,13.010375918877125,77.5947007540385,3,5,economy,2.64,4.86,86.12,1.0
12.975880253110878,77.61816336998122,12.990858824532086,77.61406188897969,7,2,economy,1.72,3.21,73.62,1.0
12.954856745354604,77.54200179647766,12.960601990528714,77.5314007231371,16,2,premium,1.34,2.63,98.66,1.0
13.009863642909126,77.5815693092872,12.995271368941097,77.55763321533826,18,4,van,3.11,9.33,224.64,1.5
13.014539707611005,77.57057228716249,13.035126532498651,77.58930335460212,3,0,economy,3.09,6.69,94.28,1.0
12.973023859956683,77.55172331467209,12.945917893887756,77.54053967794266,18,3,premium,3.25,9.58,197.49,1.5
12.96114223973127,77.54895037358739,12.957709596803182,77.53071166577229,10,3,premium,2.06,5.98,168.84,1.5
12.966422016992933,77.58624504502362,12.967835448169883,77.56253201333843,16,0,premium,2.64,5.4,117.2,1.0
12.991819619022342,77.58152136361188,13.00518215577243,77.61073632707257,20,5,economy,3.57,10.25,159.3,1.5
12.925844135567784,77.59239163925344,12.951584581406967,77.59845935046694,21,5,premium,2.94,6.09,121.58,1.0
12.953067825228462,77.57546564219368,12.93312185283743,77.59426688297157,17,6,van,3.04,9.16,223.08,1.5
12.940181798821934,77.62290285781052,12.954744737992831,77.63798804580227,15,6,van,2.33,4.75,132.8,1.0
12.993443262688707,77.61707795596736,12.996956854499619,77.5940065792455,2,5,economy,2.59,5.54,86.98,1.0
12.960851837383846,77.59039074220502,12.975403458066966,77.60202996711925,22,4,economy,2.07,4.47,79.64,1.0
12.95338554971698,77.5998924349054,12.978522886166552,77.59779019524754,17,6,economy,2.8,8.27,141.81,1.5
